road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,residential,Inner Road,30.257567077592448,16.566009921050217,80.62973990942608
,secondary,Main Road,28.185687917655002,16.5661493,80.6291188
,residential,Inner Road,24.185695273167408,16.56628245,80.62910774999999
,residential,Inner Road,46.657892374370505,16.566153399999997,80.6294116
,secondary,Main Road,93.29864910229574,16.56658329997159,80.6294626297142
,residential,Inner Road,23.81198323418693,16.566114849999998,80.62893020000001
,residential,Inner Road,24.185695273167408,16.56628245,80.62910774999999
,residential,Inner Road,75.00274964792058,16.566458301347485,80.62868006438076
,residential,Inner Road,28.582695068091347,16.566443710865943,80.62905645693394
,residential,Inner Road,15.708401695299917,16.5663596,80.63087705000001
,residential,Inner Road,17.510860375918842,16.56649895,80.6305898
,residential,Inner Road,33.94994812701351,16.566603450000002,80.6303744
,residential,Inner Road,87.50148262510675,16.566186015928217,80.63032643772881
,residential,Inner Road,49.129135233691365,16.5666406,80.62889350000002
,residential,Inner Road,96.72961728433724,16.566965594893453,80.62927841366272
,residential,Inner Road,28.582695068091347,16.566443710865943,80.62905645693394
,residential,Inner Road,33.94994812701351,16.566603450000002,80.6303744
,residential,Inner Road,89.01772834588562,16.566309944005553,80.63005543195436
,residential,Inner Road,30.205258763757012,16.566733730045353,80.6301058646128
,residential,Inner Road,49.129135233691365,16.5666406,80.62889350000002
,tertiary,Main Road,1302.805594463478,16.568197940416088,80.64011735571317
,residential,Inner Road,254.76095328473926,16.566345179657585,80.63309561547754
,tertiary,Main Road,86.33285254920406,16.567022735377982,80.63397946687202
,residential,Inner Road,30.272334270668956,16.5668564,80.62985265
,residential,Inner Road,89.90763799360897,16.566431027315662,80.62979577865674
,residential,Inner Road,30.205258763757012,16.566733730045353,80.6301058646128
,secondary,Main Road,23.25486338014026,16.56699995,80.62979339999998
,residential,Inner Road,30.272334270668956,16.5668564,80.62985265
,secondary,Main Road,93.29864910229574,16.566583299971594,80.62946262971421
,secondary,Main Road,18.282917401004195,16.567146700000002,80.62991395
,secondary,Main Road,23.25486338014026,16.56699995,80.62979339999998
,residential,Inner Road,53.4926101215332,16.567221426026993,80.6296566891312
,secondary,Main Road,33.430268262128244,16.56734085,80.63004655
,secondary,Main Road,18.282917401004195,16.567146700000002,80.62991395
,residential,Inner Road,114.25485167783651,16.566920744667087,80.63040762232657
,residential,Inner Road,30.746913606222737,16.567495873947724,80.62946086786245
,residential,Inner Road,53.492610121533204,16.56722142602699,80.62965668913118
,residential,Inner Road,96.72961728433722,16.566965594893453,80.62927841366272
,residential,Inner Road,24.462870308960824,16.567426,80.6302311
,residential,Inner Road,24.462870308960824,16.567426,80.6302311
,secondary,Main Road,33.430268262128244,16.56734085,80.63004655
,secondary,Main Road,4.845842226874826,16.567489367735615,80.63013718291903
,tertiary,Main Road,7.642456450145015,16.567599299999998,80.63340084999999
,tertiary,Main Road,35.763568088149846,16.5674709,80.63355419999999
,residential,Inner Road,114.22815151810514,16.56713392720862,80.63315439130932
,residential,Inner Road,36.96939891930507,16.567585649999998,80.62999310000001
,secondary,Main Road,11.854504856348091,16.5675581,80.63016865
,secondary,Main Road,4.845842226874826,16.567489367735615,80.63013718291903
,residential,Inner Road,24.900683350065197,16.56760675,80.62916235000002
,residential,Inner Road,30.616453553886448,16.56766705,80.63006095
,secondary,Main Road,11.854504856348091,16.5675581,80.63016865
,secondary,Main Road,18.501599761327356,16.567683953577557,80.63022370499009
,residential,Inner Road,30.746913606222737,16.567495873947728,80.62946086786246
,residential,Inner Road,22.465924632362892,16.567715677647357,80.6294811667411
,residential,Inner Road,27.09848393957827,16.56766648731981,80.62932392654169
,residential,Inner Road,17.258505138574122,16.5677242,80.62894985
,residential,Inner Road,36.96939891930507,16.567585649999998,80.62999310000001
,residential,Inner Road,94.72601176565853,16.567968899999997,80.633633
,tertiary,Main Road,7.642456450145015,16.567599299999998,80.63340084999999
,tertiary,Main Road,30.7304898263259,16.567726128332595,80.63327902379271
,residential,Inner Road,24.900683350065197,16.56760675,80.62916235000002
,residential,Inner Road,27.06555107042637,16.56782355,80.6292533
,residential,Inner Road,27.09848393957827,16.56766648731981,80.62932392654169
,residential,Inner Road,25.865596789571157,16.567753344246896,80.62909257202897
,residential,Inner Road,30.616453553886448,16.56766705,80.63006095
,residential,Inner Road,33.3627987979818,16.56782163778443,80.63011272855614
,secondary,Main Road,28.917565240351294,16.56787979053776,80.63031167804334
,secondary,Main Road,18.501599761327356,16.567683953577557,80.63022370499009
,residential,Inner Road,17.258505138574122,16.5677242,80.62894985
,residential,Inner Road,19.42512051124871,16.567828650000003,80.62889515
,residential,Inner Road,25.865596789571157,16.567753344246896,80.62909257202897
,residential,Inner Road,26.62131261965684,16.567882106017667,80.62941113572072
,residential,Inner Road,22.465924632362892,16.567715677647357,80.6294811667411
,residential,Inner Road,50.106469302811455,16.567995652594654,80.62964049246742
,residential,Inner Road,128.56390061076496,16.56829577854758,80.63353565124444
,tertiary,Main Road,20.743085436334766,16.567896542580428,80.6331157378663
,tertiary,Main Road,30.7304898263259,16.567726128332595,80.63327902379271
,residential,Inner Road,27.204073788247808,16.56797405,80.62885925
,residential,Inner Road,19.42512051124871,16.567828650000003,80.62889515
,residential,Inner Road,150.30384509318222,16.567236756433175,80.62854013387044
,residential,Inner Road,33.3627987979818,16.56782163778443,80.63011272855614
,residential,Inner Road,55.18065529557811,16.568149828130256,80.63147009319715
